Fecha,Materia,Clima,Día de la Semana,Hora,Profesor,Asistencia,Historial de Faltas del Mes Pasado,Renta,Traslado
01/01/2023,Historia,Lluvioso,Lunes,12:00,Carmen,0,10,1,camina
09/04/2023,Historia,Lluvioso,Martes,10:00,Carmen,0,10,0,combi
17/01/2023,Biología,Lluvioso,Jueves,14:00,Ana,1,1,1,auto propio
03/10/2023,Química,Soleado,Lunes,08:00,Norma,1,9,0,camina
18/10/2023,Física,Lluvioso,Lunes,10:00,Jose,0,1,1,camión
16/06/2023,Química,Nublado,Martes,10:00,Juan,1,9,0,camina
05/08/2023,Historia,Ventoso,Lunes,14:00,Norma,0,4,0,bicicleta
23/06/2023,Biología,Nublado,Miércoles,14:00,Carmen,1,6,0,taxi
02/09/2023,Física,Lluvioso,Lunes,12:00,Jose,0,7,0,camión
18/04/2023,Física,Nublado,Martes,12:00,Ana,0,0,0,bicicleta
08/08/2023,Matemáticas,Ventoso,Viernes,14:00,Juan,1,0,0,camina
14/02/2023,Biología,Ventoso,Jueves,16:00,Juan,1,6,1,auto propio
15/04/2023,Física,Ventoso,Lunes,12:00,Carmen,1,9,0,camina
05/01/2023,Física,Lluvioso,Lunes,10:00,Norma,1,5,1,camión
04/11/2023,Química,Ventoso,Jueves,16:00,Carmen,1,5,1,taxi
20/03/2023,Química,Lluvioso,Jueves,14:00,Norma,0,8,0,camión
10/03/2023,Química,Lluvioso,Jueves,14:00,Jose,0,7,1,camión
04/08/2023,Matemáticas,Soleado,Martes,16:00,Ana,1,9,0,camión
01/07/2023,Biología,Soleado,Martes,14:00,Norma,0,3,1,moto
04/09/2023,Matemáticas,Ventoso,Miércoles,16:00,Jose,1,8,1,auto propio
05/09/2023,Física,Nublado,Viernes,16:00,Jose,1,10,0,taxi
04/10/2023,Química,Ventoso,Miércoles,16:00,Juan,0,5,0,moto
26/11/2023,Historia,Lluvioso,Miércoles,12:00,Ana,0,5,0,combi
27/08/2023,Historia,Ventoso,Viernes,10:00,Carmen,1,7,0,camina
22/12/2023,Física,Lluvioso,Jueves,10:00,Ana,0,4,1,moto
13/11/2023,Física,Nublado,Jueves,14:00,Jose,1,9,1,taxi
02/05/2023,Biología,Soleado,Lunes,10:00,Carmen,1,10,0,camina
22/02/2023,Biología,Nublado,Miércoles,12:00,Carmen,0,8,0,moto
16/04/2023,Matemáticas,Lluvioso,Jueves,12:00,Jose,0,0,1,taxi
22/12/2023,Química,Ventoso,Miércoles,10:00,Norma,0,6,0,moto
05/04/2023,Historia,Soleado,Martes,14:00,Carmen,1,3,1,combi
12/01/2023,Historia,Ventoso,Jueves,12:00,Norma,0,0,1,moto
06/03/2023,Química,Soleado,Martes,12:00,Juan,0,1,0,combi
10/09/2023,Matemáticas,Lluvioso,Jueves,16:00,Ana,1,1,0,bicicleta
07/12/2023,Biología,Lluvioso,Viernes,12:00,Carmen,1,10,1,moto
02/05/2023,Historia,Soleado,Martes,14:00,Juan,1,0,1,camión
26/09/2023,Matemáticas,Soleado,Jueves,08:00,Jose,1,5,1,moto
02/11/2023,Química,Soleado,Miércoles,10:00,Carmen,0,1,1,combi
22/10/2023,Historia,Ventoso,Viernes,12:00,Carmen,0,3,0,auto propio
13/12/2023,Matemáticas,Nublado,Lunes,12:00,Carmen,1,1,1,bicicleta
01/09/2023,Historia,Lluvioso,Viernes,10:00,Carmen,0,1,0,taxi
22/10/2023,Química,Ventoso,Martes,08:00,Juan,1,8,1,bicicleta
21/05/2023,Física,Soleado,Martes,10:00,Juan,0,8,1,auto propio
23/10/2023,Química,Lluvioso,Martes,08:00,Juan,0,3,0,camión
17/05/2023,Química,Soleado,Viernes,16:00,Jose,1,3,1,camina
22/11/2023,Historia,Lluvioso,Martes,16:00,Norma,1,2,1,bicicleta
30/09/2023,Física,Ventoso,Lunes,14:00,Juan,1,8,0,camina
06/10/2023,Física,Soleado,Jueves,10:00,Juan,0,9,1,taxi
22/01/2023,Física,Lluvioso,Lunes,14:00,Norma,1,2,1,moto
15/09/2023,Biología,Ventoso,Miércoles,16:00,Norma,1,9,1,bicicleta
04/02/2023,Química,Nublado,Martes,10:00,Norma,1,10,1,bicicleta
20/06/2023,Matemáticas,Soleado,Viernes,08:00,Ana,1,3,0,camión
23/11/2023,Matemáticas,Nublado,Lunes,08:00,Ana,1,9,1,moto
07/02/2023,Química,Soleado,Martes,16:00,Ana,0,10,0,bicicleta
27/02/2023,Matemáticas,Soleado,Viernes,08:00,Juan,1,2,1,camina
07/03/2023,Física,Lluvioso,Martes,16:00,Juan,0,6,0,auto propio
20/10/2023,Química,Lluvioso,Viernes,14:00,Carmen,0,4,1,bicicleta
12/06/2023,Historia,Nublado,Jueves,14:00,Ana,0,2,0,combi
20/04/2023,Química,Ventoso,Jueves,10:00,Carmen,1,8,1,moto
01/09/2023,Biología,Ventoso,Martes,08:00,Carmen,1,4,0,camina
14/03/2023,Historia,Ventoso,Viernes,10:00,Jose,0,2,1,moto
22/02/2023,Historia,Lluvioso,Martes,12:00,Juan,1,5,1,moto
09/05/2023,Física,Ventoso,Miércoles,14:00,Carmen,0,9,1,auto propio
12/01/2023,Matemáticas,Ventoso,Viernes,12:00,Carmen,0,2,1,bicicleta
09/06/2023,Física,Soleado,Jueves,14:00,Norma,0,9,1,combi
22/03/2023,Matemáticas,Soleado,Martes,08:00,Ana,0,1,1,camina
27/09/2023,Física,Ventoso,Viernes,14:00,Ana,1,3,1,auto propio
14/11/2023,Química,Soleado,Lunes,08:00,Ana,1,8,1,combi
31/10/2023,Historia,Lluvioso,Lunes,16:00,Jose,1,7,1,moto
17/06/2023,Historia,Ventoso,Martes,16:00,Ana,0,2,1,camión
30/06/2023,Química,Soleado,Lunes,14:00,Norma,0,0,0,camión
01/04/2023,Matemáticas,Lluvioso,Viernes,08:00,Norma,0,7,1,bicicleta
31/03/2023,Historia,Soleado,Miércoles,08:00,Norma,0,1,0,camina
28/05/2023,Historia,Soleado,Miércoles,16:00,Ana,1,6,1,bicicleta
29/12/2023,Historia,Nublado,Martes,12:00,Juan,1,10,1,auto propio
07/10/2023,Matemáticas,Soleado,Lunes,08:00,Juan,0,6,1,camina
17/07/2023,Historia,Nublado,Miércoles,14:00,Jose,0,8,1,camina
07/02/2023,Física,Lluvioso,Lunes,14:00,Jose,1,4,1,taxi
26/12/2023,Química,Ventoso,Miércoles,12:00,Juan,1,8,0,auto propio
20/10/2023,Biología,Nublado,Martes,14:00,Juan,1,6,1,camión
11/06/2023,Matemáticas,Lluvioso,Miércoles,12:00,Ana,0,3,0,taxi
15/02/2023,Matemáticas,Ventoso,Viernes,08:00,Carmen,1,4,1,combi
05/10/2023,Matemáticas,Nublado,Lunes,08:00,Norma,0,4,1,combi
09/09/2023,Física,Lluvioso,Miércoles,08:00,Jose,1,0,0,moto
26/08/2023,Historia,Ventoso,Lunes,12:00,Ana,0,3,1,moto
29/03/2023,Historia,Nublado,Miércoles,16:00,Ana,0,4,0,auto propio
29/03/2023,Historia,Nublado,Jueves,16:00,Norma,1,9,1,bicicleta
13/02/2023,Física,Ventoso,Lunes,16:00,Carmen,0,10,1,auto propio
09/07/2023,Matemáticas,Ventoso,Viernes,12:00,Ana,1,9,1,taxi
11/05/2023,Matemáticas,Nublado,Viernes,16:00,Jose,0,6,0,camina
